,alg,p,dim,maze
10,e_astar,0.2,210,"[[0 0 0 ... 1 1 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 1 0]
 ...
 [0 0 0 ... 0 0 1]
 [0 0 0 ... 0 1 0]
 [0 1 0 ... 1 0 0]]"
11,m_astar,0.2,210,"[[0 0 0 ... 1 1 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 1 0]
 ...
 [0 0 0 ... 0 0 1]
 [0 0 0 ... 0 1 0]
 [0 1 0 ... 1 0 0]]"
12,dfs,0.4,210,"[[0 1 0 ... 0 0 1]
 [0 0 1 ... 0 1 0]
 [0 0 1 ... 1 0 0]
 ...
 [1 1 0 ... 1 1 0]
 [1 0 0 ... 0 0 0]
 [1 1 1 ... 0 1 0]]"
13,e_astar,0.4,210,"[[0 1 0 ... 0 0 1]
 [0 0 1 ... 0 1 0]
 [0 0 1 ... 1 0 0]
 ...
 [1 1 0 ... 1 1 0]
 [1 0 0 ... 0 0 0]
 [1 1 1 ... 0 1 0]]"
14,m_astar,0.4,210,"[[0 1 0 ... 0 0 1]
 [0 0 1 ... 0 1 0]
 [0 0 1 ... 1 0 0]
 ...
 [1 1 0 ... 1 1 0]
 [1 0 0 ... 0 0 0]
 [1 1 1 ... 0 1 0]]"
15,dfs,0.4,210,"[[0 0 0 ... 1 0 0]
 [1 1 0 ... 1 1 1]
 [0 1 1 ... 1 1 1]
 ...
 [1 1 1 ... 0 1 1]
 [1 1 1 ... 1 0 0]
 [1 1 1 ... 1 0 0]]"
16,e_astar,0.4,210,"[[0 0 0 ... 1 0 0]
 [1 1 0 ... 1 1 1]
 [0 1 1 ... 1 1 1]
 ...
 [1 1 1 ... 0 1 1]
 [1 1 1 ... 1 0 0]
 [1 1 1 ... 1 0 0]]"
17,m_astar,0.4,210,"[[0 0 0 ... 1 0 0]
 [1 1 0 ... 1 1 1]
 [0 1 1 ... 1 1 1]
 ...
 [1 1 1 ... 0 1 1]
 [1 1 1 ... 1 0 0]
 [1 1 1 ... 1 0 0]]"
18,dfs,0.4,210,"[[0 0 0 ... 0 1 1]
 [0 0 1 ... 0 0 0]
 [0 0 0 ... 0 1 0]
 ...
 [1 1 1 ... 0 1 1]
 [0 1 0 ... 1 0 1]
 [0 0 0 ... 1 0 0]]"
19,e_astar,0.4,210,"[[0 0 0 ... 0 1 1]
 [0 0 1 ... 0 0 0]
 [0 0 0 ... 0 1 0]
 ...
 [1 1 1 ... 0 1 1]
 [0 1 0 ... 1 0 1]
 [0 0 0 ... 1 0 0]]"
20,m_astar,0.4,210,"[[0 0 0 ... 0 1 1]
 [0 0 1 ... 0 0 0]
 [0 0 0 ... 0 1 0]
 ...
 [1 1 1 ... 0 1 1]
 [0 1 0 ... 1 0 1]
 [0 0 0 ... 1 0 0]]"
21,dfs,0.4,210,"[[0 1 1 ... 1 1 1]
 [1 0 0 ... 1 1 1]
 [0 0 0 ... 1 1 1]
 ...
 [1 0 0 ... 0 1 0]
 [0 0 1 ... 0 1 1]
 [0 1 0 ... 0 1 0]]"
22,e_astar,0.4,210,"[[0 1 1 ... 1 1 1]
 [1 0 0 ... 1 1 1]
 [0 0 0 ... 1 1 1]
 ...
 [1 0 0 ... 0 1 0]
 [0 0 1 ... 0 1 1]
 [0 1 0 ... 0 1 0]]"
23,m_astar,0.4,210,"[[0 1 1 ... 1 1 1]
 [1 0 0 ... 1 1 1]
 [0 0 0 ... 1 1 1]
 ...
 [1 0 0 ... 0 1 0]
 [0 0 1 ... 0 1 1]
 [0 1 0 ... 0 1 0]]"
24,dfs,0.4,210,"[[0 1 1 ... 0 0 0]
 [0 0 1 ... 0 1 1]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 1 0]
 [1 0 1 ... 0 0 1]
 [0 0 1 ... 0 1 0]]"
25,e_astar,0.4,210,"[[0 1 1 ... 0 0 0]
 [0 0 1 ... 0 1 1]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 1 0]
 [1 0 1 ... 0 0 1]
 [0 0 1 ... 0 1 0]]"
26,m_astar,0.4,210,"[[0 1 1 ... 0 0 0]
 [0 0 1 ... 0 1 1]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 1 0]
 [1 0 1 ... 0 0 1]
 [0 0 1 ... 0 1 0]]"
27,dfs,0.5,210,"[[0 0 0 ... 1 0 1]
 [0 0 0 ... 0 1 0]
 [1 1 0 ... 1 1 0]
 ...
 [1 0 1 ... 0 1 0]
 [0 0 0 ... 1 0 1]
 [0 1 1 ... 0 1 0]]"
28,e_astar,0.5,210,"[[0 0 0 ... 1 0 1]
 [0 0 0 ... 0 1 0]
 [1 1 0 ... 1 1 0]
 ...
 [1 0 1 ... 0 1 0]
 [0 0 0 ... 1 0 1]
 [0 1 1 ... 0 1 0]]"
29,m_astar,0.5,210,"[[0 0 0 ... 1 0 1]
 [0 0 0 ... 0 1 0]
 [1 1 0 ... 1 1 0]
 ...
 [1 0 1 ... 0 1 0]
 [0 0 0 ... 1 0 1]
 [0 1 1 ... 0 1 0]]"
30,dfs,0.5,210,"[[0 1 1 ... 0 1 0]
 [0 0 1 ... 1 0 1]
 [0 0 1 ... 0 1 0]
 ...
 [0 1 0 ... 0 0 1]
 [0 1 1 ... 1 0 0]
 [0 0 1 ... 0 0 0]]"
31,e_astar,0.5,210,"[[0 1 1 ... 0 1 0]
 [0 0 1 ... 1 0 1]
 [0 0 1 ... 0 1 0]
 ...
 [0 1 0 ... 0 0 1]
 [0 1 1 ... 1 0 0]
 [0 0 1 ... 0 0 0]]"
32,m_astar,0.5,210,"[[0 1 1 ... 0 1 0]
 [0 0 1 ... 1 0 1]
 [0 0 1 ... 0 1 0]
 ...
 [0 1 0 ... 0 0 1]
 [0 1 1 ... 1 0 0]
 [0 0 1 ... 0 0 0]]"
33,dfs,0.5,210,"[[0 0 0 ... 1 1 0]
 [0 0 1 ... 1 1 1]
 [0 1 1 ... 1 1 1]
 ...
 [1 1 0 ... 0 0 1]
 [1 1 1 ... 0 1 0]
 [0 0 0 ... 0 1 0]]"
34,e_astar,0.5,210,"[[0 0 0 ... 1 1 0]
 [0 0 1 ... 1 1 1]
 [0 1 1 ... 1 1 1]
 ...
 [1 1 0 ... 0 0 1]
 [1 1 1 ... 0 1 0]
 [0 0 0 ... 0 1 0]]"
35,m_astar,0.5,210,"[[0 0 0 ... 1 1 0]
 [0 0 1 ... 1 1 1]
 [0 1 1 ... 1 1 1]
 ...
 [1 1 0 ... 0 0 1]
 [1 1 1 ... 0 1 0]
 [0 0 0 ... 0 1 0]]"
36,dfs,0.5,210,"[[0 0 0 ... 1 1 0]
 [0 1 1 ... 0 0 0]
 [1 1 1 ... 1 0 1]
 ...
 [1 0 1 ... 1 0 0]
 [0 1 0 ... 1 0 0]
 [0 0 0 ... 0 1 0]]"
37,e_astar,0.5,210,"[[0 0 0 ... 1 1 0]
 [0 1 1 ... 0 0 0]
 [1 1 1 ... 1 0 1]
 ...
 [1 0 1 ... 1 0 0]
 [0 1 0 ... 1 0 0]
 [0 0 0 ... 0 1 0]]"
38,m_astar,0.5,210,"[[0 0 0 ... 1 1 0]
 [0 1 1 ... 0 0 0]
 [1 1 1 ... 1 0 1]
 ...
 [1 0 1 ... 1 0 0]
 [0 1 0 ... 1 0 0]
 [0 0 0 ... 0 1 0]]"
39,dfs,0.5,210,"[[0 1 1 ... 1 0 0]
 [1 0 1 ... 1 1 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 1 1 ... 1 0 1]
 [1 0 0 ... 1 1 0]]"
40,e_astar,0.5,210,"[[0 1 1 ... 1 0 0]
 [1 0 1 ... 1 1 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 1 1 ... 1 0 1]
 [1 0 0 ... 1 1 0]]"
41,m_astar,0.5,210,"[[0 1 1 ... 1 0 0]
 [1 0 1 ... 1 1 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 1 1 ... 1 0 1]
 [1 0 0 ... 1 1 0]]"
42,dfs,0.6,210,"[[0 1 1 ... 1 1 1]
 [0 1 0 ... 1 1 0]
 [1 1 1 ... 1 0 1]
 ...
 [0 1 0 ... 1 1 1]
 [0 1 0 ... 1 0 1]
 [0 0 1 ... 0 1 0]]"
43,e_astar,0.6,210,"[[0 1 1 ... 1 1 1]
 [0 1 0 ... 1 1 0]
 [1 1 1 ... 1 0 1]
 ...
 [0 1 0 ... 1 1 1]
 [0 1 0 ... 1 0 1]
 [0 0 1 ... 0 1 0]]"
44,m_astar,0.6,210,"[[0 1 1 ... 1 1 1]
 [0 1 0 ... 1 1 0]
 [1 1 1 ... 1 0 1]
 ...
 [0 1 0 ... 1 1 1]
 [0 1 0 ... 1 0 1]
 [0 0 1 ... 0 1 0]]"
45,dfs,0.6,210,"[[0 0 0 ... 1 0 1]
 [1 1 1 ... 0 1 0]
 [0 1 1 ... 0 1 1]
 ...
 [0 1 1 ... 0 1 1]
 [1 1 1 ... 1 1 1]
 [0 1 0 ... 0 1 0]]"
46,e_astar,0.6,210,"[[0 0 0 ... 1 0 1]
 [1 1 1 ... 0 1 0]
 [0 1 1 ... 0 1 1]
 ...
 [0 1 1 ... 0 1 1]
 [1 1 1 ... 1 1 1]
 [0 1 0 ... 0 1 0]]"
47,m_astar,0.6,210,"[[0 0 0 ... 1 0 1]
 [1 1 1 ... 0 1 0]
 [0 1 1 ... 0 1 1]
 ...
 [0 1 1 ... 0 1 1]
 [1 1 1 ... 1 1 1]
 [0 1 0 ... 0 1 0]]"
48,dfs,0.6,210,"[[0 0 0 ... 1 1 0]
 [0 1 0 ... 1 0 0]
 [1 0 0 ... 0 1 0]
 ...
 [1 0 1 ... 1 0 1]
 [1 1 1 ... 0 1 1]
 [1 1 1 ... 0 0 0]]"
49,e_astar,0.6,210,"[[0 0 0 ... 1 1 0]
 [0 1 0 ... 1 0 0]
 [1 0 0 ... 0 1 0]
 ...
 [1 0 1 ... 1 0 1]
 [1 1 1 ... 0 1 1]
 [1 1 1 ... 0 0 0]]"
50,m_astar,0.6,210,"[[0 0 0 ... 1 1 0]
 [0 1 0 ... 1 0 0]
 [1 0 0 ... 0 1 0]
 ...
 [1 0 1 ... 1 0 1]
 [1 1 1 ... 0 1 1]
 [1 1 1 ... 0 0 0]]"
51,dfs,0.6,210,"[[0 1 0 ... 0 0 1]
 [1 0 1 ... 1 0 1]
 [1 0 1 ... 1 0 1]
 ...
 [0 0 0 ... 1 0 1]
 [1 1 1 ... 0 1 0]
 [0 0 1 ... 0 1 0]]"
52,e_astar,0.6,210,"[[0 1 0 ... 0 0 1]
 [1 0 1 ... 1 0 1]
 [1 0 1 ... 1 0 1]
 ...
 [0 0 0 ... 1 0 1]
 [1 1 1 ... 0 1 0]
 [0 0 1 ... 0 1 0]]"
53,m_astar,0.6,210,"[[0 1 0 ... 0 0 1]
 [1 0 1 ... 1 0 1]
 [1 0 1 ... 1 0 1]
 ...
 [0 0 0 ... 1 0 1]
 [1 1 1 ... 0 1 0]
 [0 0 1 ... 0 1 0]]"
54,dfs,0.6,210,"[[0 1 0 ... 1 1 0]
 [0 0 0 ... 1 1 1]
 [1 1 0 ... 1 0 1]
 ...
 [0 1 0 ... 1 1 0]
 [0 0 1 ... 1 1 0]
 [1 1 0 ... 1 1 0]]"
55,e_astar,0.6,210,"[[0 1 0 ... 1 1 0]
 [0 0 0 ... 1 1 1]
 [1 1 0 ... 1 0 1]
 ...
 [0 1 0 ... 1 1 0]
 [0 0 1 ... 1 1 0]
 [1 1 0 ... 1 1 0]]"
56,m_astar,0.6,210,"[[0 1 0 ... 1 1 0]
 [0 0 0 ... 1 1 1]
 [1 1 0 ... 1 0 1]
 ...
 [0 1 0 ... 1 1 0]
 [0 0 1 ... 1 1 0]
 [1 1 0 ... 1 1 0]]"
57,dfs,0.7,210,"[[0 1 1 ... 1 1 0]
 [0 1 1 ... 1 1 1]
 [1 1 1 ... 1 0 1]
 ...
 [1 0 1 ... 1 1 1]
 [1 1 1 ... 0 1 0]
 [1 1 1 ... 0 1 0]]"
58,e_astar,0.7,210,"[[0 1 1 ... 1 1 0]
 [0 1 1 ... 1 1 1]
 [1 1 1 ... 1 0 1]
 ...
 [1 0 1 ... 1 1 1]
 [1 1 1 ... 0 1 0]
 [1 1 1 ... 0 1 0]]"
59,m_astar,0.7,210,"[[0 1 1 ... 1 1 0]
 [0 1 1 ... 1 1 1]
 [1 1 1 ... 1 0 1]
 ...
 [1 0 1 ... 1 1 1]
 [1 1 1 ... 0 1 0]
 [1 1 1 ... 0 1 0]]"
60,dfs,0.7,210,"[[0 1 1 ... 0 1 1]
 [0 0 1 ... 1 0 0]
 [1 1 0 ... 1 1 1]
 ...
 [1 0 0 ... 0 1 1]
 [1 0 1 ... 0 1 0]
 [1 1 1 ... 0 1 0]]"
61,e_astar,0.7,210,"[[0 1 1 ... 0 1 1]
 [0 0 1 ... 1 0 0]
 [1 1 0 ... 1 1 1]
 ...
 [1 0 0 ... 0 1 1]
 [1 0 1 ... 0 1 0]
 [1 1 1 ... 0 1 0]]"
62,m_astar,0.7,210,"[[0 1 1 ... 0 1 1]
 [0 0 1 ... 1 0 0]
 [1 1 0 ... 1 1 1]
 ...
 [1 0 0 ... 0 1 1]
 [1 0 1 ... 0 1 0]
 [1 1 1 ... 0 1 0]]"
63,dfs,0.7,210,"[[0 0 0 ... 1 1 1]
 [1 1 0 ... 1 0 1]
 [1 1 1 ... 0 1 1]
 ...
 [1 0 0 ... 1 1 0]
 [1 1 1 ... 1 0 1]
 [1 1 1 ... 0 1 0]]"
64,e_astar,0.7,210,"[[0 0 0 ... 1 1 1]
 [1 1 0 ... 1 0 1]
 [1 1 1 ... 0 1 1]
 ...
 [1 0 0 ... 1 1 0]
 [1 1 1 ... 1 0 1]
 [1 1 1 ... 0 1 0]]"
65,m_astar,0.7,210,"[[0 0 0 ... 1 1 1]
 [1 1 0 ... 1 0 1]
 [1 1 1 ... 0 1 1]
 ...
 [1 0 0 ... 1 1 0]
 [1 1 1 ... 1 0 1]
 [1 1 1 ... 0 1 0]]"
66,dfs,0.7,210,"[[0 0 1 ... 1 1 1]
 [1 1 1 ... 0 1 0]
 [1 1 1 ... 0 1 1]
 ...
 [0 1 1 ... 1 0 0]
 [1 1 0 ... 0 1 1]
 [0 1 1 ... 1 1 0]]"
67,e_astar,0.7,210,"[[0 0 1 ... 1 1 1]
 [1 1 1 ... 0 1 0]
 [1 1 1 ... 0 1 1]
 ...
 [0 1 1 ... 1 0 0]
 [1 1 0 ... 0 1 1]
 [0 1 1 ... 1 1 0]]"
68,m_astar,0.7,210,"[[0 0 1 ... 1 1 1]
 [1 1 1 ... 0 1 0]
 [1 1 1 ... 0 1 1]
 ...
 [0 1 1 ... 1 0 0]
 [1 1 0 ... 0 1 1]
 [0 1 1 ... 1 1 0]]"
69,dfs,0.7,210,"[[0 1 1 ... 0 0 1]
 [1 1 1 ... 1 1 1]
 [0 1 1 ... 0 0 1]
 ...
 [1 0 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 0]]"
70,e_astar,0.7,210,"[[0 1 1 ... 0 0 1]
 [1 1 1 ... 1 1 1]
 [0 1 1 ... 0 0 1]
 ...
 [1 0 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 0]]"
71,m_astar,0.7,210,"[[0 1 1 ... 0 0 1]
 [1 1 1 ... 1 1 1]
 [0 1 1 ... 0 0 1]
 ...
 [1 0 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 0]]"
72,dfs,0.8,210,"[[0 1 1 ... 1 1 1]
 [0 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]
 ...
 [0 1 1 ... 0 1 1]
 [1 1 1 ... 1 1 1]
 [1 0 1 ... 1 1 0]]"
73,e_astar,0.8,210,"[[0 1 1 ... 1 1 1]
 [0 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]
 ...
 [0 1 1 ... 0 1 1]
 [1 1 1 ... 1 1 1]
 [1 0 1 ... 1 1 0]]"
74,m_astar,0.8,210,"[[0 1 1 ... 1 1 1]
 [0 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]
 ...
 [0 1 1 ... 0 1 1]
 [1 1 1 ... 1 1 1]
 [1 0 1 ... 1 1 0]]"
75,dfs,0.8,210,"[[0 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 0]
 [1 1 0 ... 0 1 1]
 ...
 [0 1 1 ... 0 1 1]
 [1 1 1 ... 0 1 1]
 [1 1 1 ... 1 1 0]]"
76,e_astar,0.8,210,"[[0 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 0]
 [1 1 0 ... 0 1 1]
 ...
 [0 1 1 ... 0 1 1]
 [1 1 1 ... 0 1 1]
 [1 1 1 ... 1 1 0]]"
77,m_astar,0.8,210,"[[0 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 0]
 [1 1 0 ... 0 1 1]
 ...
 [0 1 1 ... 0 1 1]
 [1 1 1 ... 0 1 1]
 [1 1 1 ... 1 1 0]]"
78,dfs,0.8,210,"[[0 0 0 ... 1 1 1]
 [1 1 1 ... 1 0 1]
 [1 1 1 ... 1 1 1]
 ...
 [1 0 0 ... 1 1 1]
 [1 1 1 ... 0 1 1]
 [0 1 0 ... 1 0 0]]"
79,e_astar,0.8,210,"[[0 0 0 ... 1 1 1]
 [1 1 1 ... 1 0 1]
 [1 1 1 ... 1 1 1]
 ...
 [1 0 0 ... 1 1 1]
 [1 1 1 ... 0 1 1]
 [0 1 0 ... 1 0 0]]"
80,m_astar,0.8,210,"[[0 0 0 ... 1 1 1]
 [1 1 1 ... 1 0 1]
 [1 1 1 ... 1 1 1]
 ...
 [1 0 0 ... 1 1 1]
 [1 1 1 ... 0 1 1]
 [0 1 0 ... 1 0 0]]"
81,dfs,0.8,210,"[[0 0 1 ... 1 1 1]
 [1 1 0 ... 1 1 1]
 [1 1 1 ... 0 1 1]
 ...
 [1 1 0 ... 1 1 0]
 [1 1 1 ... 1 1 1]
 [1 0 1 ... 1 1 0]]"
82,e_astar,0.8,210,"[[0 0 1 ... 1 1 1]
 [1 1 0 ... 1 1 1]
 [1 1 1 ... 0 1 1]
 ...
 [1 1 0 ... 1 1 0]
 [1 1 1 ... 1 1 1]
 [1 0 1 ... 1 1 0]]"
83,m_astar,0.8,210,"[[0 0 1 ... 1 1 1]
 [1 1 0 ... 1 1 1]
 [1 1 1 ... 0 1 1]
 ...
 [1 1 0 ... 1 1 0]
 [1 1 1 ... 1 1 1]
 [1 0 1 ... 1 1 0]]"
84,dfs,0.8,210,"[[0 0 1 ... 0 1 1]
 [1 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]
 ...
 [1 0 1 ... 1 1 1]
 [1 0 1 ... 1 1 1]
 [1 1 1 ... 1 0 0]]"
85,e_astar,0.8,210,"[[0 0 1 ... 0 1 1]
 [1 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]
 ...
 [1 0 1 ... 1 1 1]
 [1 0 1 ... 1 1 1]
 [1 1 1 ... 1 0 0]]"
86,m_astar,0.8,210,"[[0 0 1 ... 0 1 1]
 [1 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]
 ...
 [1 0 1 ... 1 1 1]
 [1 0 1 ... 1 1 1]
 [1 1 1 ... 1 0 0]]"
87,dfs,0.9,210,"[[0 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]
 ...
 [1 1 1 ... 1 1 1]
 [1 1 1 ... 1 0 1]
 [1 1 1 ... 1 1 0]]"
88,e_astar,0.9,210,"[[0 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]
 ...
 [1 1 1 ... 1 1 1]
 [1 1 1 ... 1 0 1]
 [1 1 1 ... 1 1 0]]"
89,m_astar,0.9,210,"[[0 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]
 ...
 [1 1 1 ... 1 1 1]
 [1 1 1 ... 1 0 1]
 [1 1 1 ... 1 1 0]]"
90,dfs,0.9,210,"[[0 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]
 ...
 [1 0 1 ... 1 1 1]
 [1 1 1 ... 1 1 0]
 [0 1 0 ... 1 1 0]]"
91,e_astar,0.9,210,"[[0 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]
 ...
 [1 0 1 ... 1 1 1]
 [1 1 1 ... 1 1 0]
 [0 1 0 ... 1 1 0]]"
92,m_astar,0.9,210,"[[0 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]
 ...
 [1 0 1 ... 1 1 1]
 [1 1 1 ... 1 1 0]
 [0 1 0 ... 1 1 0]]"
93,dfs,0.9,210,"[[0 1 1 ... 0 1 1]
 [1 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]
 ...
 [1 1 1 ... 1 1 1]
 [1 0 1 ... 1 1 1]
 [1 1 1 ... 1 1 0]]"
94,e_astar,0.9,210,"[[0 1 1 ... 0 1 1]
 [1 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]
 ...
 [1 1 1 ... 1 1 1]
 [1 0 1 ... 1 1 1]
 [1 1 1 ... 1 1 0]]"
95,m_astar,0.9,210,"[[0 1 1 ... 0 1 1]
 [1 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]
 ...
 [1 1 1 ... 1 1 1]
 [1 0 1 ... 1 1 1]
 [1 1 1 ... 1 1 0]]"
96,dfs,0.9,210,"[[0 1 1 ... 1 1 1]
 [0 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]
 ...
 [1 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]
 [1 0 1 ... 1 1 0]]"
97,e_astar,0.9,210,"[[0 1 1 ... 1 1 1]
 [0 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]
 ...
 [1 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]
 [1 0 1 ... 1 1 0]]"
98,m_astar,0.9,210,"[[0 1 1 ... 1 1 1]
 [0 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]
 ...
 [1 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]
 [1 0 1 ... 1 1 0]]"
99,dfs,0.9,210,"[[0 1 1 ... 1 1 0]
 [1 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]
 ...
 [1 1 1 ... 1 1 0]
 [1 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 0]]"
100,e_astar,0.9,210,"[[0 1 1 ... 1 1 0]
 [1 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]
 ...
 [1 1 1 ... 1 1 0]
 [1 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 0]]"
101,m_astar,0.9,210,"[[0 1 1 ... 1 1 0]
 [1 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 1]
 ...
 [1 1 1 ... 1 1 0]
 [1 1 1 ... 1 1 1]
 [1 1 1 ... 1 1 0]]"
